timestamp,dataset,channel,window,sensor_height_m,reference_height_m,wind_profile_alpha,wind_mean_roof_m_s,wind_median_roof_m_s,wind_max_raw_roof_m_s,wind_std_roof_m_s,wind_3s_gust_roof_m_s,wind_mean_10m_m_s,wind_median_10m_m_s,wind_max_raw_10m_m_s,wind_std_10m_m_s,wind_3s_gust_10m_m_s,wind_mean_roof_mph,wind_3s_gust_roof_mph,wind_max_raw_roof_mph,wind_mean_10m_mph,wind_3s_gust_10m_mph,wind_max_raw_10m_mph,n_samples
2023-03-01 00:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.4123613162884887,1.4547075,3.942705,0.6852603026019076,2.936962906666667,0.9997290983540376,1.0297035189023813,2.790813419532115,0.4850562363590584,2.078906611728085,3.1593622858994435,6.569798914340247,8.819579903364342,2.2363303023309693,4.650381647566398,6.242871822503829,36920
2023-03-01 01:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.613878578326661,1.528129,6.833188,0.8387788146976455,4.305331003333333,1.1423715428593963,1.0816743631532644,4.836819586701468,0.5937231347710341,3.047495447828415,3.610143562828067,9.630751170663316,15.28540622763062,2.555412363232362,6.817053167117957,10.819657271612076,180000
2023-03-01 01:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.9512625060167332,1.9363065,6.29253,0.801389176482038,4.300894856666666,1.3811861619931907,1.3705996681281658,4.4541189784192365,0.5672571668420188,3.0443553555191123,4.364849915033847,9.620827793187772,14.075988725841073,3.0896254518458957,6.810028980670877,9.963580391954258,180000
2023-03-01 02:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.882359587278278,1.849859,5.48756,0.6727236258751779,4.165369196666666,1.3324137607457698,1.3094084699317494,3.884327153182308,0.4761822461301944,2.948424559119446,4.210718475479322,9.317665525829145,12.275322118826043,2.9805246974449005,6.595437900678782,8.688992379165855,180000
2023-03-01 02:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.611700554447389,1.58538,4.369602,0.5755968261914441,3.182641493333333,1.14082984540287,1.122199043311083,3.0929891786512984,0.4074317877637755,2.2528083103235965,3.6052714621675626,7.119366261035544,9.774521295633491,2.5519636842404902,5.039388668404603,6.918819744656619,180000
2023-03-01 03:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.2023008766185277,1.175617,3.909625,0.5111432024140591,2.6147212066666667,0.8510394312489046,0.8321514543517929,2.7673979958780186,0.36180878574475545,1.8508103020389648,2.6894704648768037,5.84896476079694,8.745582050823183,1.90372098973001,4.140144734339126,6.190493011538152,180000
2023-03-01 03:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.0858054163254334,1.072583,3.147192,0.4563772129081021,2.2392231799999998,0.7685790153921417,0.7592196296608583,2.2277156590320897,0.32304310115836626,1.5850169109967331,2.4288775418875987,5.008999597351461,7.04006800286327,1.7192622928421188,3.5455818517285507,4.983258006066766,180000
2023-03-01 04:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.0199509563054112,1.01522,3.132988,0.46209216847843815,2.0679883733333333,0.7219644422095376,0.7186156711641863,2.2176614668439765,0.3270883885176091,1.4638096696899856,2.2815653102751656,4.625958243855877,7.00829455977093,1.614988462351326,3.274448974789692,4.960767418673886,180000
2023-03-01 04:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.5203916378616389,0.4253579,3.260712,0.397746782825631,2.02413644,0.3683552196668425,0.3010863190180344,2.308069918198141,0.2815420020228489,1.432769415849261,1.1640829408143305,4.527864262705793,7.294005010737286,0.8239871592404305,3.205013904458794,5.163005364616451,180000
2023-03-01 05:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.37140972224835,0.2927383,2.366235,0.2995675609078762,1.7220684366666668,0.2628995161939304,0.20721255484521872,1.6749212512137157,0.21204659466995499,1.2189529022338783,0.8308198869191786,3.8521573833810505,5.293116947029343,0.5880894689377464,2.726719985312001,3.7466921331731253,180000
2023-03-01 05:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.36194518523514996,0.31588,2.032035,0.2510598531249149,1.4180061563333333,0.2562001164401834,0.22359322925803587,1.4383603508147174,0.1777107866824361,1.0037247549776664,0.8096483205868592,3.1719894334585983,4.545532838224762,0.5731033384936094,2.245268331642952,3.2175204697895396,180000
2023-03-01 06:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.20664110194599444,0.1536658,1.145141,0.17732174118949554,0.9693237409999998,0.14626931518786848,0.10877115502253858,0.8105792520760303,0.1255158311074363,0.6861283571187475,0.462242980373108,2.168315454992839,2.5616074624194676,0.3271951395576868,1.534825423046588,1.8132141465551839,180000
2023-03-01 06:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.2587595036541111,0.2165637,1.404966,0.18791826330794628,0.9901511893333335,0.18316092510836152,0.15329294992740441,0.994494380580428,0.13301649781431424,0.7008709062831611,0.5788285246378642,2.214905130040561,3.142819434502502,0.40971932066115185,1.567803566309861,2.22462057216452,180000
2023-03-01 07:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.3514026493742333,0.2892894,2.333377,0.25766871779801676,1.4476639006666667,0.24873766349061083,0.2047712774981627,1.6516629685527036,0.18238882072697263,1.024717761271193,0.7860653395092898,3.2383319180983023,5.219615694345019,0.5564103066629621,2.2922283493002684,3.6946648365978474,180000
2023-03-01 07:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.3854126681960111,0.3301025,2.886199,0.26989229830762296,2.126616874,0.27281139381696223,0.2336605165289059,2.0429737707082243,0.19104118820588373,1.505309403103361,0.8621435849051778,4.757106464745879,6.456243289191117,0.6102617077151081,3.367281234572654,4.570002171412451,180000
